,X31nml,X31sqm,X33nml,X33sqm,X35nml,X35sqm,X36nml,X36sqm,X42nml,X42sqm
1007_s_at,9.185,10.529,9.618,10.343,9.369,10.484,9.61,10.934,9.372,11.332
1053_at,6.282,6.803,6.389,6.717,6.402,6.616,6.395,6.6,6.34,7.067
117_at,6.508,6.514,6.48,6.427,6.587,6.557,6.658,6.486,6.799,6.436
121_at,8.945,8.898,9.004,9.017,9.145,9.017,9.032,8.791,8.719,8.725
1255_g_at,3.974,4.007,4.142,4.157,4.296,4.294,4.043,4.068,4.043,4.082
1294_at,8.272,7.508,8.542,7.994,8.342,7.674,8.213,7.267,8.649,7.667
1316_at,5.734,5.851,5.887,5.928,5.955,5.883,5.744,5.783,5.764,5.816
1320_at,5.328,4.861,5.157,4.877,4.964,4.944,4.934,4.844,4.908,4.78
1405_i_at,7.658,6.92,7.678,6.976,6.891,6.862,6.977,5.643,7.416,5.233
1431_at,4.059,4.133,3.981,4.066,4,4.041,3.974,3.966,4.06,3.945
1438_at,7.362,8.17,7.292,8.077,7.214,7.715,7.139,8.358,6.981,8.93
1487_at,7.799,7.723,7.855,7.784,7.805,7.777,7.722,7.448,7.696,7.771
1494_f_at,6.97,6.783,7.206,7.065,7.146,7.082,7.013,7.095,6.977,6.847
1598_g_at,10.951,10.202,10.778,10.353,10.644,10.047,10.778,9.548,11.145,9.637
160020_at,8.509,8.771,8.56,9.34,8.73,9.603,8.535,9.347,8.466,8.734
1729_at,8.01,8.153,8.043,7.907,7.929,8.125,7.997,7.838,8.218,7.643
1773_at,6.223,6.618,6.158,6.192,6.112,6.227,6.165,5.918,5.845,6.16
177_at,5.606,6.21,5.564,5.772,5.602,5.624,5.606,5.594,5.269,5.529
179_at,9.67,9.491,9.702,9.628,9.693,9.626,9.62,9.459,9.448,9.396
1861_at,6.646,6.624,6.519,6.606,6.267,6.811,6.606,6.703,6.288,6.765
200000_s_at,9.378,9.37,9.479,9.55,9.381,9.146,9.764,9.179,9.466,9.645
200001_at,11.032,10.849,11.052,10.729,10.942,11.113,11.125,10.456,10.855,10.372
200002_at,11.639,12.175,11.314,11.417,11.269,11.539,11.22,11.735,11.498,11.999
200003_s_at,12.39,12.369,12.398,12.946,12.556,12.884,12.442,13.185,12.342,12.411
200004_at,10.593,10.796,10.393,9.987,10.336,10.553,10.771,10.673,10.65,11.104
200005_at,9.88,10.045,9.755,10.287,9.847,10.125,9.808,10.307,9.929,10.232
200006_at,10.955,11.177,10.654,11.028,10.5,11.082,10.514,10.659,10.844,10.32
200007_at,11.041,10.881,10.712,10.609,10.621,11.048,10.86,10.603,10.765,11.074
200008_s_at,9.567,9.7,9.337,9.398,9.164,9.352,9.096,8.976,8.114,9.49
200009_at,10.539,10.666,10.336,10.335,10.477,10.246,10.167,9.98,10.296,10.653
200010_at,11.83,11.655,11.423,11.667,11.41,11.284,11.507,11.503,11.93,11.207
200011_s_at,9.688,9.729,9.791,9.399,9.583,10.019,9.797,9.523,9.602,9.911
200012_x_at,12.204,12.088,11.911,11.833,11.922,11.631,11.798,12.019,12.035,11.417
200013_at,11.701,11.877,11.353,12.07,11.523,12.05,11.529,11.977,11.624,11.918
200014_s_at,9.083,9.05,8.787,8.971,8.51,9.033,8.801,9.459,8.711,8.989
200015_s_at,10.028,9.831,9.913,9.306,9.677,9.618,10.197,9.656,10.081,9.519
200016_x_at,11.667,11.608,11.591,11.73,11.525,11.607,11.651,11.655,11.678,11.762
200017_at,11.551,11.617,11.279,11.567,11.543,11.654,11.426,12.024,11.536,11.641
200018_at,12.627,12.645,12.504,12.488,12.393,12.431,12.393,12.629,12.449,12.481
200019_s_at,12.297,12.111,12.124,12.252,12.123,12.254,12.194,12.145,12.284,12.096
200020_at,8.13,8.119,8.28,8.319,8.054,8.542,8.497,8.875,8.827,9.15
200021_at,12.736,12.89,13.056,12.684,12.985,13.061,13.042,12.753,12.912,13.188
200022_at,11.694,11.934,11.378,12.068,11.516,12.013,11.577,12.024,11.7,12.098
200023_s_at,10.478,10.59,10.584,10.818,10.633,10.892,10.699,10.718,10.403,10.437
200024_at,12.167,12.522,11.956,12.899,11.985,12.635,11.989,12.792,11.839,11.604
200025_s_at,12.518,12.609,12.413,12.58,12.487,12.481,12.27,12.775,12.198,11.755
200026_at,12.696,12.533,12.304,12.529,12.421,12.016,12.288,12.413,12.468,12.168
200027_at,9.453,9.708,9.375,8.96,9.409,8.734,9.292,10.806,9.368,9.924
200028_s_at,9.911,10.097,10.203,10.032,10.17,9.801,9.972,9.937,9.907,10.952
200029_at,12.42,12.298,12.104,12.347,12.23,11.985,12.182,12.797,12.431,11.796
200030_s_at,11.284,11.272,11.514,11.608,11.326,11.474,11.511,11.547,11.356,11.552
200031_s_at,12.796,12.583,12.624,13.007,12.738,12.785,12.807,13.03,12.655,12.765
200032_s_at,12.737,12.687,12.383,12.714,12.302,12.335,12.391,12.516,12.504,12.2
200033_at,10.867,10.52,10.901,10.43,10.668,10.107,10.919,10.961,11.449,11.002
200034_s_at,11.256,11.182,10.812,11.522,11.167,11.37,11.07,11.821,11.116,11.469
200035_at,9.003,8.989,9.028,9.066,8.984,8.797,9.226,9.146,9.303,8.967
200036_s_at,11.491,11.658,11.095,12.109,11.295,11.626,11.268,11.848,11.168,11.333
200037_s_at,7.978,8.484,7.663,7.989,7.958,8.211,7.944,8.686,8.262,9.217
200038_s_at,11.929,11.951,11.214,11.744,11.63,11.472,11.417,12.882,11.862,11.959
200039_s_at,9.278,10.01,9.27,10.128,9.184,10.532,9.215,10.398,9.295,10.627
200040_at,9.587,9.583,9.281,9.414,9.08,9.266,9.502,9.743,9.539,9.937
200041_s_at,10.02,10.33,9.78,10.324,9.568,10.288,9.97,10.737,10.748,11.078
200042_at,9.129,9.515,9.206,9.59,9.263,9.724,9.333,9.843,8.95,9.452
200043_at,10.138,10.726,10.084,10.076,9.85,10.232,9.89,10.163,9.875,9.946
200044_at,9.387,10.204,9.427,9.972,9.322,9.758,9.348,9.871,9.173,10.578
200045_at,8.603,9.087,8.694,9.009,8.401,8.936,8.859,9.737,8.887,9.699
200046_at,9.368,9.447,9.392,9.557,9.251,9.994,9.506,10.301,9.238,9.811
200047_s_at,8.195,9.03,8.129,8.66,8.034,8.699,8.186,8.222,8.141,8.719
200048_s_at,10.052,10.166,9.954,10.101,9.933,10.176,9.939,10.6,9.941,11.063
200049_at,7.977,8.291,8.295,8.556,8.252,8.171,8.337,8.253,8.039,8.063
200050_at,6.747,6.895,6.337,6.891,6.134,6.819,6.769,8.059,6.92,7.691
200051_at,7.491,7.536,7.705,7.802,7.752,7.765,7.774,7.539,7.598,7.611
200052_s_at,8.27,8.981,8.078,9.11,7.626,8.977,8.121,8.876,8.054,9.46
200053_at,9.116,9.141,9.22,9.218,9.196,9.011,9.138,8.901,9.39,8.691
200054_at,6.949,7.292,7.119,7.564,7.114,7.743,7.13,7.306,7.329,7.257
200055_at,9.898,9.955,9.974,9.722,10.022,10.059,9.815,10.361,10.003,10.442
200056_s_at,5.508,5.646,5.468,4.963,5.285,5.561,5.611,5.897,5.534,5.348
200057_s_at,10.515,10.626,10.506,10.74,10.272,10.494,10.319,10.658,10.316,11.031
200058_s_at,9,9.651,9.108,9.701,8.955,9.602,9.333,9.08,9.29,9.839
200059_s_at,11.693,11.203,11.969,11.159,11.576,11.322,11.842,10.778,11.126,10.694
200060_s_at,9.039,9.496,8.978,9.557,8.912,9.671,9.082,9.318,9.114,10.255
200061_s_at,12.961,12.842,12.542,12.659,12.781,12.36,12.583,12.802,12.911,12.489
200062_s_at,12.899,12.92,12.738,13.246,12.75,12.895,12.675,13.072,12.584,12.726
200063_s_at,10.658,10.334,10.352,10.323,10.477,10.397,10.23,10.879,10.395,10.641
200064_at,11.733,11.264,11.332,11.529,11.136,11.554,11.477,12.837,11.376,12.256
200065_s_at,10.933,10.889,11.018,10.838,10.702,11.151,10.989,11.102,10.756,11.176
200066_at,8.595,8.102,8.281,7.927,8.291,7.78,8.558,8.15,8.444,7.501
200067_x_at,9.376,8.994,9.149,8.774,9.205,8.904,9.011,8.688,8.789,7.858
200068_s_at,11.033,10.598,10.835,10.346,11.021,10.777,11.072,11.014,10.553,10.252
200069_at,5.987,6.019,6.23,6.471,5.956,6.028,6.403,6.233,6.344,6.368
200070_at,7.623,7.394,7.7,7.258,7.465,7.455,7.848,7.319,8.083,7.696
200071_at,6.812,7.144,6.936,6.802,6.323,6.84,7.04,7.306,6.825,6.579
200072_s_at,9.303,9.119,9.06,9.301,8.979,9.156,9.503,9.874,9.49,9.593
200073_s_at,8.945,9.373,9.099,9.721,8.703,9.369,9.13,9.299,9.02,9.853
200074_s_at,11.041,10.395,10.566,10.485,10.516,10.487,10.54,10.222,10.639,10.064
200075_s_at,9.397,9.523,9.134,9.535,8.934,9.5,9.305,9.406,9.796,9.502
200076_s_at,8.466,8.614,8.319,8.293,8.284,8.223,8.277,8.429,8.383,8.289
200077_s_at,12.373,12.444,12.486,12.15,12.323,12.309,12.353,12.043,12.044,12.263
200078_s_at,10.187,10.235,10.531,10.227,10.469,10.229,10.003,9.893,9.978,10.665
200079_s_at,9.295,9.506,9.191,9.581,9.036,9.823,9.242,9.45,9.249,9.068
200080_s_at,10.895,11.198,11.023,11.075,10.919,10.615,10.842,10.713,10.732,11.116
200081_s_at,12.023,11.849,11.69,11.768,11.588,11.574,11.809,12.534,11.833,11.383
200082_s_at,11.369,11.69,11.131,11.7,10.957,11.56,11.196,12.182,11.207,11.73
200083_at,8.59,8.392,8.452,8.824,7.992,8.271,8.647,7.716,8.829,8.845
200084_at,9.608,9.424,9.308,8.786,9.253,8.838,9.383,9.457,9.259,10.048
200085_s_at,10.175,10.345,10.374,10.737,10.433,10.859,10.177,10.432,10.183,10.416
200086_s_at,10.486,10.877,10.519,10.787,10.362,10.938,10.266,10.265,10.269,10.004
200087_s_at,10.187,10.192,9.973,10.132,9.824,10.386,9.613,10.656,9.64,10.232
200088_x_at,12.783,12.717,12.316,12.296,12.585,12.556,12.306,12.922,12.547,12.542
200089_s_at,11.344,11.353,11.181,11.668,11.193,11.455,11.216,11.307,11.226,11.401
200090_at,8.958,8.779,8.822,8.368,8.701,8.552,8.855,9.112,8.852,8.898
200091_s_at,10.848,10.764,10.424,10.725,10.387,10.322,10.369,10.465,10.545,10.408
200092_s_at,11.887,12.162,11.573,12.122,11.606,12.023,11.579,12.116,11.536,11.876
200093_s_at,9.567,9.896,9.532,10.176,9.469,9.543,9.527,10.021,9.398,10.067
200094_s_at,11.468,11.352,11.605,11.426,11.527,11.479,11.609,11.811,11.002,10.99
200095_x_at,13.377,13.588,13.043,13.467,13.211,13.358,13.159,13.692,13.34,13.698
200096_s_at,10.432,10.152,10.188,9.969,10.309,10.382,10.122,9.726,10.131,9.829
200097_s_at,9.489,9.369,9.225,8.802,9.117,9.329,9.515,9.522,9.543,9.527
200098_s_at,9.162,9.297,9.124,9.629,8.826,9.371,9.178,9.579,9.479,9.341
200099_s_at,12.132,12.173,11.897,12.49,11.591,11.694,11.817,11.847,11.708,11.988
200593_s_at,9.402,9.202,8.969,9.238,9.044,9.297,9.319,9.309,8.912,9.424
200594_x_at,10.502,10.632,10.186,10.006,10.078,10.172,10.281,10.083,10.146,10.905
200595_s_at,8.128,7.649,8.082,7.449,7.813,7.352,8.303,8.531,8.1,7.676
