Gene ID,TCGA-38-4625-11A-01R-1758-07,TCGA-38-4625-01A-01R-1758-07
?|100130426,0,0
?|100133144,6.0377,4.0315
?|100134869,3.9512,10.9554
?|10357,197.2475,128.3177
?|10431,1615.9822,659.423
?|136542,0,0
?|155060,68.8124,37.8419
?|26823,1.1099,0
?|280660,0,0
?|317712,0,0
?|340602,0,0
?|388795,0,0
?|390284,9.9889,3.7467
?|391343,0,0
?|391714,0,0
?|404770,0,0
?|441362,0,0
?|442388,0,0
?|553137,0,0.3747
?|57714,179.8002,220.6819
?|645851,3.3296,1.8734
?|652919,0,0
?|653553,1563.818,285.5002
?|728045,0,0
?|728603,0,0
?|728788,0,0
?|729884,11.0988,0.7493
?|8225,502.7747,960.6594
?|90288,11.0988,101.5362
A1BG|1,3840.1554,237.2049
A1CF|29974,0,0.3747
A2BP1|54715,0,1.124
A2LD1|87769,47.7802,91.5024
A2ML1|144568,1.1099,0
A2M|2,7686.8923,61787.8157
A4GALT|53947,401.7758,604.3462
A4GNT|51146,0,4.4961
AAA1|404744,0,0
AAAS|8086,586.0155,612.589
AACSL|729522,0,0.7493
AACS|65985,945.616,608.4676
AADACL2|344752,0,0
AADACL3|126767,0,0
AADACL4|343066,0,0
AADAC|13,1066.5927,197.8269
AADAT|51166,18.8679,76.4331
AAGAB|79719,744.7281,617.0851
AAK1|22848,219.7558,515.9236
AAMP|14,3850.1665,2391.9071
AANAT|15,0,0
AARS2|57505,359.6004,255.5227
AARSD1|80755,330.7436,380.6669
AARS|16,2374.0289,2289.2469
AASDHPPT|60496,971.1432,780.8168
AASDH|132949,113.2075,245.4103
AASS|10157,258.6016,411.39
AATF|26574,860.1554,902.2106
AATK|9625,12.2087,566.5043
ABAT|18,103.2186,560.1349
ABCA10|10349,1.1099,38.9659
ABCA11P|79963,173.8069,80.6707
ABCA12|26154,296.3374,1.124
ABCA13|154664,361.8202,91.7947
ABCA17P|650655,14.4284,4.8707
ABCA1|19,716.9811,1187.3286
ABCA2|20,197.5583,569.127
ABCA3|21,114.3174,16874.4848
ABCA4|24,7065.4828,8.9921
ABCA5|23461,371.8091,224.054
ABCA6|23460,62.1532,430.4983
ABCA7|10347,123.1964,360.0599
ABCA8|10351,66.5927,956.538
ABCA9|10350,32.1865,291.8696
ABCB10|23456,558.2686,540.2773
ABCB11|8647,11.0988,0
ABCB1|5243,13.3185,44.586
ABCB4|5244,5.5494,2.6227
ABCB5|340273,3.3296,2.9974
ABCB6|10058,2505.0166,237.6358
ABCB7|22,614.8724,415.8861
ABCB8|11194,821.3097,754.5897
ABCB9|23457,82.131,76.257
ABCC10|89845,457.2697,392.2818
ABCC11|85320,0,0.7493
ABCC12|94160,0,0.7493
ABCC13|150000,0,14.9869
ABCC1|4363,2823.5294,1085.7999
ABCC2|1244,4.4395,18.7336
ABCC3|8714,1882.3529,908.58
ABCC4|10257,281.909,803.6718
ABCC5|10057,2357.3807,307.2312
ABCC6P1|653190,34.4062,9.3668
ABCC6P2|730013,55.4939,82.0532
ABCC6|368,52.1643,455.6013
ABCC8|6833,1.1099,16.4856
ABCC9|10060,147.6138,398.2765
ABCD1|215,165.3718,443.6118
ABCD2|225,17.758,18.7336
ABCD3|5825,1807.9911,1597.2274
ABCD4|5826,781.3541,682.6527
ABCE1|6059,2719.2009,1043.462
ABCF1|23,1046.6149,1085.7999
ABCF2|10061,1814.6504,887.5984
ABCF3|55324,1179.8002,985.3878
ABCG1|9619,1114.3174,3528.6624
ABCG2|9429,491.6759,419.6328
ABCG4|64137,4.4395,0.3747
ABCG5|64240,5.5494,0.7493
ABCG8|64241,2.2198,0
ABHD10|55347,1084.3507,715.6238
ABHD11|83451,1687.0144,480.3297
ABHD12B|145447,1.1099,19.8576
ABHD12|26090,1887.9023,1754.2151
ABHD13|84945,672.586,813.4133
ABHD14A|25864,355.1609,569.4642
ABHD14B|84836,459.4895,2513.6755
ABHD15|116236,79.9112,427.1263
ABHD1|84696,31.0766,5.6201
ABHD2|11057,1750.2775,5949.7939
ABHD3|171586,982.242,475.8336
ABHD4|63874,4658.1576,1078.6812
ABHD5|51099,498.3352,1810.4159
ABHD6|57406,105.4384,530.9105
ABHD8|79575,377.3585,502.0607
ABI1|10006,2343.0855,1682.574
ABI2|10152,1112.0977,925.8149
ABI3BP|25890,428.4129,1530.1611
ABI3|51225,384.0178,608.0929
ABL1|25,418.424,1438.7411
